,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
1637,57.0,50.0,55.0,70.0,7.52,6.83,9.79,91.0,15.0,13.0,0.95,6.0,1.83,1.19,3.81,0.7,1.19,55.0,15.4688,6.83,24.3,15.8,3.02,40.2,0.36
1638,50.0,64.0,66.0,69.0,6.78,6.32,9.11,93.0,3.0,2.0,2.87,2.0,1.62,1.38,3.31,0.47,1.15,71.0,14.6484,6.32,23.9,20.4,3.0,44.2,0.36
1639,48.0,62.0,61.0,66.0,6.69,6.04,9.11,90.0,9.0,7.0,0.0,6.0,2.1,1.34,2.6,0.66,1.19,64.0,15.0391,6.04,31.4,20.0,5.57,49.0,0.53
1640,46.0,82.0,94.0,73.0,7.78,7.15,9.79,92.0,11.0,8.0,0.0,8.0,2.12,1.0,4.03,0.64,1.3,63.0,15.4297,7.15,27.2,12.9,3.98,49.6,0.36
1641,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1642,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1643,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1644,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1645,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1646,52.0,21.0,19.0,71.0,7.33,6.43,9.11,88.0,14.0,10.0,0.0,4.0,0.85,1.17,4.4,0.92,0.0,66.0,15.2344,6.43,11.6,16.0,2.02,27.6,0.36
1647,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1648,65.0,104.0,58.0,100.0,8.8,7.8,7.7,89.0,19.0,16.0,0.0,6.0,1.59,1.0,5.21,1.01,0.1,39.0,15.9375,7.8,18.1,11.4,5.21,63.6,0.36
1649,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1650,66.0,113.0,63.0,93.0,8.43,7.65,8.22,91.0,17.0,15.0,0.0,6.0,1.78,0.97,4.91,0.79,0.0,56.0,15.4688,7.65,21.1,11.5,4.5,40.0,0.36
1651,68.0,90.0,49.0,99.0,9.44,8.5,8.6,90.0,20.0,18.0,0.0,5.0,1.73,1.29,5.48,0.96,0.27,44.0,16.2891,8.5,18.3,13.7,3.63,44.7,0.36
