,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
461,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
462,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.32
463,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
464,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
465,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
466,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
467,62.0,109.0,84.0,91.0,9.39,8.57,9.38,91.0,23.0,22.0,0.0,6.0,2.36,1.83,4.38,0.84,0.0,62.587,16.318,8.57,25.1,19.5,1.34,38.8,0.378
468,71.0,69.0,55.0,100.0,9.58,8.75,8.65,91.0,19.0,17.0,0.0,8.0,3.32,1.85,3.58,0.84,0.35,62.587,16.963,8.75,34.7,19.3,3.8,37.8,0.378
469,74.0,55.0,30.0,43.0,4.81,4.54,10.48,94.0,6.0,5.0,0.0,4.0,1.49,0.83,2.22,0.27,1.49,62.587,17.285,4.54,31.0,17.3,4.68,52.5,0.378
470,60.0,125.0,93.0,78.0,7.46,6.93,8.91,93.0,14.87,15.0,0.0,4.0,1.31,1.18,4.44,0.54,0.0,62.587,15.762,6.93,17.6,15.8,3.34,41.8,0.378
471,55.0,156.0,90.0,61.0,6.21,5.85,9.61,94.0,9.0,8.0,0.0,1.0,0.27,0.57,5.01,0.36,0.85,74.0,16.318,5.85,4.3,9.2,3.45,53.1,0.378
472,56.0,129.0,81.0,68.0,7.41,6.78,10.0,92.0,15.0,13.0,2.87,2.0,1.32,0.95,4.52,0.64,1.51,43.0,16.113,6.78,17.8,12.8,2.92,30.0,0.378
473,53.0,139.0,85.0,93.0,9.95,9.38,10.14,94.0,17.0,16.0,0.0,8.0,3.03,0.84,5.51,0.58,1.24,60.0,15.469,9.38,30.5,8.4,3.93,46.5,0.378
474,47.0,164.0,95.0,100.0,9.37,8.42,8.15,90.0,12.0,11.0,2.88,8.0,2.98,1.81,3.63,0.97,0.35,72.0,15.293,8.42,31.8,19.3,2.95,29.2,0.378
475,62.0,99.0,42.0,82.0,7.05,6.61,8.11,94.0,11.0,10.0,0.0,7.0,2.49,1.45,2.68,0.44,0.0,74.0,16.23,6.61,35.3,20.6,3.76,39.5,0.378
476,54.0,131.0,62.0,59.0,6.09,5.38,9.08,88.0,12.0,11.0,7.24,3.0,1.45,1.4,2.53,0.72,0.7,74.0,15.352,5.38,23.8,23.0,2.27,30.6,0.378
477,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
478,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
479,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
480,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
481,64.0,95.0,51.0,88.0,8.11,7.82,8.86,96.0,14.87,9.0,0.0,4.0,2.64,1.32,3.86,0.3,1.58,62.587,16.738,9.15,32.6,16.3,5.83,56.9,0.378
482,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
483,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
484,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
485,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
486,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
487,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
488,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
489,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
490,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
491,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
492,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
493,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
494,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
495,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
496,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
497,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
498,63.0,113.0,85.0,79.0,7.21,6.56,8.33,91.0,14.0,13.0,0.0,4.0,2.25,1.53,2.78,0.66,0.0,62.587,17.471,6.56,26.2,9.0,2.66,35.2,0.378
499,58.0,116.0,86.0,72.0,7.36,6.82,9.51,93.0,14.87,14.0,0.0,5.0,1.85,0.95,4.02,0.55,0.81,62.587,16.186,6.82,28.1,17.0,4.32,45.0,0.378
500,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
501,58.0,144.0,98.0,100.0,9.53,9.0,7.78,94.0,14.87,17.0,0.0,3.0,0.62,0.65,7.73,0.55,1.08,62.587,16.553,10.65,3.8,10.0,0.54,13.8,0.378
502,53.0,153.0,96.0,82.0,6.24,5.74,7.01,92.0,14.0,13.0,0.0,1.0,0.62,0.7,4.42,0.51,0.0,54.0,16.426,7.34,31.5,16.8,4.06,48.3,0.378
503,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
